"","Age","aMortCEF1","aMortCEF2","aMortCEF3","aMortCEF4","aMortCEF5","aMortCEF6","aMortCEF7","aMortCEF8","aMortCEF9","aMortCEF10","aMortCEF11","aMortCEF12","aMortCEF13","aMortCEF14","aMortCEF15","aMortCEF16","aMortCEF17","aMortCEF18","aMortCEF19","aMortCEF20","aMortCEF21","aMortCEF22","aMortCEF23","aMortCEF24","aMortCEF25","aMortCEF26","aMortCEF27","aMortCEF28","aMortCEF29","aMortCEF30","aMortCEF31","aMortCEF32","aMortCEF33","aMortCEF34","aMortCEF35","aMortCEF36","aMortCEF37","aMortCEF38","aMortCEF39","aMortCEF40","aMortCEF41","aMortCEF42","aMortCEF43","aMortCEF44","aMortCEF45","aMortCEF46","aMortCEF47","aMortCEF48","aMortCEF49","aMortCEF50","aMortCEF51","aMortCEF52","aMortCEF53","aMortCEF54","aMortCEF55","aMortCEF56","aMortCEF57","aMortCEF58","aMortCEF59","aMortCEF60","aMortCEF61","aMortCEF62","aMortCEF63","aMortCEF64","aMortCEF65","aMortCEF66","aMortCEF67","aMortCEF68","aMortCEF69","aMortCEF70","aMortCEF71","aMortCEF72","aMortCEF73","aMortCEF74","aMortCEF75","aMortCEF76","aMortCEF77","aMortCEF78","aMortCEF79","aMortCEF80","aMortCEF81","aMortCEF82","aMortCEF83","aMortCEF84","aMortCEF85","aMortCEF86","aMortCEF87","aMortCEF88","aMortCEF89","aMortCEF90","aMortCEF91","aMortCEF92","aMortCEF93","aMortCEF94","aMortCEF95","aMortCEF96","aMortCEF97","aMortCEF98","aMortCEF99","aMortCEF100","aMortCEF101","aMortCEF102","aMortCEF103","aMortCEF104","aMortCEF105","aMortCEF106","aMortCEF107","aMortCEF108","aMortCEF109","aMortCEF110","aMortCEF111"
"51",51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0055238445958387,0.0116433979226011,0.0182611803697726,0.0251930637841584,0.0327748112686429,0.0408656189413714,0.0495737974806936,0.0588343604795996,0.0685823215310797,0.0788285117029688,0.0893779717742371,0.100772255136634,0.113303800621703,0.125672880089248,0.139460829443175,0.154082771020395,0.169950285398637,0.186391846372134,0.204024824807478,0.222751741094154,0.242323480671959,0.263541542560681,0.285626089876201,0.309346128434802,0.334896617457515,0.361259436567851,0.389376888667454,0.418815731042923,0.449337680201891,0.481614262350125,0.514735667789487,0.549698354760796,0.584780183478289,0.620674342283406,0.656980081666251,0.693101692895903,0.729114993447204,0.764890010506136,0.798888732440131,0.831934320404649,0.861069892880739,0.888602467317253,0.912452478689874,0.932966521169322,0.949548886024673,0.963011903343551,0.973626349821829,0.981738819630227,0.987739231210805,0.992017503005621,0.99497438452457,0.996945638870536,0.998212873807229,0.998992710691347,0.999458446608251,0.999729223304126,0.999880858253815,0.999967506796495,1
"52",52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00615354455057335,0.0128080856486272,0.0197784723961793,0.0274023329013145,0.0355380811832231,0.0442946295348356,0.0536066305803935,0.0634087369441388,0.0737118398553644,0.0843198971867954,0.0957774704030844,0.108378622695144,0.120816406547807,0.13468094143786,0.149384100983478,0.165339751897797,0.181872637964647,0.199603559253733,0.218434494701417,0.238114946033959,0.259450864219044,0.281658080747574,0.305509872899354,0.33120228280166,0.357711534900944,0.385985166145703,0.415587527364214,0.446279011512029,0.478734874805319,0.512040253983467,0.547197142141433,0.582473833821623,0.618567367698792,0.655074768289097,0.69139701798142,0.727610355380812,0.763584085735757,0.797771654486642,0.831000795059738,0.860298201858044,0.887983706720978,0.911966193624274,0.932594181905312,0.949268653952972,0.962806451964233,0.973479856671422,0.981637387411917,0.987671128440267,0.991973164011022,0.994946469608025,0.99692867333936,0.998202947166647,0.998987115675746,0.999455438535347,0.999727719267674,0.999880196477776,0.999967326312121,1
"53",53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00669574365493366,0.0137092885635384,0.0213803533073248,0.0295664752553369,0.0383772410467716,0.0477468986981107,0.0576096962258362,0.0679765922938676,0.0786503309516504,0.0901788453951695,0.102858019550257,0.115372813746548,0.12932319291632,0.144117389207908,0.160171831850261,0.176807083680358,0.194647788541621,0.213595318458774,0.233397624161662,0.254865646780345,0.277210362512603,0.301209836496734,0.327061324683295,0.353734712663832,0.38218340419936,0.411969052733091,0.442850567658791,0.475507386139482,0.509018980405909,0.544393547538684,0.579888659974576,0.616205672204445,0.652939113663262,0.689486257835445,0.72592381536843,0.762120282295182,0.796519528339105,0.829954411958094,0.859433217902073,0.887290141585938,0.911421119537106,0.932176829001008,0.948954543462061,0.962576162714242,0.973315653355543,0.981523692631394,0.987594792442905,0.991923464691185,0.994915179941262,0.996909656774646,0.99819182045325,0.998980844255468,0.999452066804015,0.999726033402008,0.999879454696883,0.999967124008241,1
"54",54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0070608223651548,0.0147835968270429,0.0230249004313721,0.0318950585275979,0.0413278759060469,0.0512571573570459,0.0616939354155404,0.0724396244525104,0.0840458512152338,0.0968104941472402,0.109409649055063,0.123454066040754,0.138347988217253,0.15451065191249,0.171258039959842,0.189219006851204,0.208294259772068,0.228230050418685,0.249842786377026,0.272338125131011,0.296499376661776,0.322525126598338,0.349378316655818,0.378018777374477,0.408005207356494,0.439094890833067,0.471971844970819,0.505709336834325,0.541322359638574,0.577056740327225,0.613618561136792,0.650599618274291,0.687393122317715,0.724076301011684,0.76051676393685,0.795147891130945,0.828808155249832,0.858485674253373,0.886530378084973,0.910824020035084,0.931719641221964,0.948610452223608,0.962323893160932,0.973135777407575,0.981399146081795,0.987511170441633,0.991869021745126,0.994880903785263,0.996888825145354,0.998179631733984,0.998973974250064,0.999448373252723,0.999724186626361,0.999878642115599,0.999966902395164,1
"55",55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00777769135898491,0.0160775991377873,0.0250108332129643,0.0345107276585815,0.044510616548705,0.0550216108709903,0.065843712847635,0.0775324718614238,0.0903878845790603,0.103076632481861,0.117220919767558,0.132220753102743,0.148498350018333,0.165364829279675,0.183453517183142,0.202664414839835,0.222741969533672,0.244508394351174,0.267163698181131,0.291496761147098,0.317707581026877,0.344751724980834,0.373595848935012,0.403795513383185,0.435106276596927,0.468217019810891,0.502194420061999,0.538060688214575,0.574049177231364,0.61087099032233,0.648115020944212,0.685170164775947,0.722114198731125,0.758813790957878,0.793691181209098,0.827590804546616,0.85747936134043,0.8857234919612,0.910189886779036,0.931234097398918,0.948245019499783,0.96205597715581,0.972944745058388,0.981266874812502,0.987422361973756,0.991811202097755,0.994844501727759,0.996866701481095,0.998166687036811,0.998966678148021,0.999444450617216,0.999722225308608,0.999877779135788,0.999966667037033,1
"56",56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0083649679174925,0.017368226559613,0.0269425874290321,0.0370208620284207,0.047614248440667,0.058521181173783,0.0703015643721795,0.0832577462738379,0.0960459569321732,0.110301116448864,0.125418528347947,0.141823719779174,0.158822409603476,0.177052888545481,0.196414373859195,0.21664930963819,0.238586354016192,0.261419245025252,0.285943046550431,0.312359324083717,0.339615457833619,0.368685681011411,0.399122070301564,0.430678267880539,0.464048554887403,0.498292292359548,0.534439703922688,0.570710294397599,0.607820741089126,0.645356714930404,0.682702321362583,0.719935946965879,0.756923214745636,0.792073996931725,0.826239347823653,0.856362190792936,0.884827717494765,0.909485896014602,0.930695065004871,0.94783932990672,0.961758546936765,0.97273266816721,0.981120032250479,0.987323770170547,0.99174701291139,0.994804089539871,0.996842140625525,0.998152316323445,0.998958578291396,0.999440095855589,0.999720047927795,0.99987682108823,0.999966405751335,1
"57",57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00907920590825942,0.0187343315942815,0.0288976217900942,0.0395803690403596,0.0505793075411613,0.0624590645256003,0.0755245386995506,0.0884206247035707,0.102796034058315,0.118040969352034,0.134584547281885,0.151726630078822,0.170110892788581,0.189635702509203,0.210041330713463,0.232163425706349,0.255188924272196,0.279919597082007,0.306558709939698,0.33404476364704,0.363360209589629,0.394053345980983,0.425875736838539,0.459527519931341,0.494060121507781,0.530512455676762,0.567089007837026,0.604512500846941,0.642365110554012,0.680025747001829,0.717573458003026,0.754872733021659,0.790320030715721,0.824773584479527,0.855150529620345,0.883856178151184,0.90872236149694,0.930110441086794,0.947399326964338,0.961435959979222,0.972502653747996,0.980960769699844,0.9872168394426,0.991677394584096,0.994760259276825,0.996815502405312,0.998136730130768,0.998949793346433,0.999435372766899,0.99971768638345,0.999875782008718,0.999966122366014,1
"58",58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00974358974358968,0.0199999999999999,0.0307806267806268,0.0418803418803418,0.0538689458689459,0.0670541310541311,0.0800683760683761,0.0945754985754986,0.109960113960114,0.126655270655271,0.143954415954416,0.162507122507122,0.182210826210826,0.202803418803419,0.225128205128205,0.248364672364672,0.273321937321937,0.300205128205128,0.32794301994302,0.357527065527065,0.388501424501424,0.420615384615385,0.454575498575499,0.489424501424501,0.526210826210826,0.563122507122507,0.600888888888889,0.639088319088319,0.677094017094017,0.714985754985755,0.752626780626781,0.78839886039886,0.823168091168091,0.853823361823362,0.882792022792023,0.90788603988604,0.929470085470085,0.946917378917379,0.961082621082621,0.972250712250712,0.980786324786325,0.987099715099715,0.991601139601139,0.994712250712251,0.996786324786325,0.998119658119658,0.998940170940171,0.999430199430199,0.9997150997151,0.999874643874644,0.999965811965812,1
"59",59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103573278094252,0.0212440301513321,0.0324529604695322,0.0445595258645493,0.0578744461706658,0.0710167443466253,0.0856666091259567,0.101202600840094,0.118062028885437,0.135531388457334,0.154266643650383,0.174164221186489,0.194959433799413,0.217503883997929,0.240968985557282,0.266171816560216,0.293319523562921,0.321330341216411,0.351205477875597,0.382484607860061,0.414914552045572,0.44920881523678,0.484400713504805,0.52154899591461,0.55882386788653,0.596961850509235,0.635537142528339,0.673916796133264,0.712181368318085,0.750192761378675,0.786316819149548,0.8214281604235,0.85238506243167,0.881638759422291,0.906979688129351,0.928776109097186,0.94639507451522,0.960699695034237,0.9719776742045,0.980597272570343,0.986972783244145,0.991518499338282,0.994660222107141,0.996754703953047,0.998101156568272,0.998929742793026,0.999424592899476,0.999712296449738,0.999873410437885,0.999965475573968,1
"60",60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110006395720682,0.0223268794697366,0.0345601488458632,0.0480144194429909,0.0612942612942613,0.076097447526019,0.0917960346531775,0.108831908831909,0.126484097912669,0.145415431129717,0.165521251235537,0.186534100819815,0.209314495028781,0.233025175882319,0.258491772777487,0.285923600209314,0.314227571370429,0.344415372986802,0.376021861736147,0.408791208791209,0.443444386301529,0.479004593290308,0.516541659398802,0.554206639920926,0.592743764172336,0.631722774579917,0.670504099075528,0.709169137740566,0.747578347578348,0.784080469794755,0.819559276702134,0.850840165125879,0.880400023257166,0.90600616314902,0.928030699459271,0.945834060119774,0.960288388859817,0.971684400255829,0.980394208965637,0.986836443979301,0.991429734286877,0.99460433746148,0.996720739577882,0.998081283795569,0.998918541775685,0.999418570847142,0.999709285423571,0.999872085586371,0.999965114250828,1
