"time","percent_death"
0,0.0127302928974673
1,0.0139748972468629
2,0.0153491584934436
3,0.0168654105638489
4,0.0185362543104149
5,0.0203743017328354
6,0.0223928489149055
7,0.0246051168580872
8,0.0270242042960157
9,0.0296634222782633
10,0.0325367638699464
11,0.0356588912116838
12,0.0390444778869502
13,0.042708665457321
14,0.046666192348768
15,0.0509340532470923
16,0.0555058249848424
17,0.0604385192435453
18,0.0657308303859553
19,0.0714044933473529
20,0.0774367241875804
21,0.0838949031817485
22,0.0907765371323616
23,0.0981014123232203
24,0.10584017203912
25,0.113940768313457
26,0.122616193047331
27,0.131566036100547
28,0.140933530354276
29,0.150735378556912
30,0.160670762942761
31,0.170618342665742
32,0.180768388696765
33,0.191187336077616
34,0.201831570656233
35,0.212582155554171
36,0.223226223939231
37,0.233947440904514
38,0.244955047382771
39,0.255715313216304
40,0.266276570583514
41,0.277113478665955
42,0.287731123145486
43,0.298999072423371
44,0.310026626757708
45,0.321371007708385
46,0.332051258239635
47,0.343010608837603
48,0.353767328109684
49,0.363876529231663
50,0.374434422137528
51,0.383734090764854
52,0.39292159632592
53,0.401382540631738
54,0.408518677555826
55,0.41650624422252
56,0.423603917660879
57,0.431136324335075
58,0.438365069637746
59,0.44606235711622
60,0.453957137597597
61,0.46140467241803
62,0.469261715558151
63,0.477527484825544
64,0.484002306147933
65,0.490634323093755
66,0.496702293815498
67,0.503859809785707
68,0.510246817255094
69,0.516957134053332
70,0.524770981973259
71,0.531585672472442
72,0.537914224503196
73,0.544489163127994
74,0.551990326112954
75,0.559174803328254
76,0.569184444385557
77,0.578232328858807
78,0.588653038107115
79,0.60029701083337
80,0.61058660672118
81,0.61973255432409
82,0.63099783039989
83,0.643438316259584
84,0.65724373374346
85,0.672147104290513
86,0.686423825411656
87,0.703875602740434
88,0.717776140155265
89,0.734620973158761
90,0.750479801778405
91,0.76592169896032
92,0.780065015177809
93,0.796776748096543
94,0.814201708610198
95,0.832166308469823
96,0.850690077387608
97,0.869073323788442
98,0.887584873808854
99,0.909315075870944
100,0.933144493701496
101,0.962053896110364
102,1
