INR_value,INR_freq
0.9,0
1.1,0.01
1.2,0.01
1.3,0.03
1.4,0.03
1.44,0.01
1.5,0.04
1.6,0.03
1.7,0.05
1.8,0.04
1.83,0.01
1.9,0.05
1.91,0.01
2,0.06
2.1,0.05
2.15,0.01
2.2,0.06
2.29,0.01
2.3,0.05
2.39,0.01
2.4,0.04
2.48,0.01
2.5,0.05
2.6,0.05
2.7,0.04
2.75,0.01
2.8,0.04
2.9,0.02
2.93,0.01
3,0.02
3.1,0.02
3.15,0.01
3.2,0.01
3.28,0.01
3.3,0.01
3.5,0.01
3.6,0.01
3.7,0.01
3.8,0.01
4.1,0.01
4.75,0.01
5.2,0.01
11,0.01
