"Age","male.shape","male.rate","female.shape","female.rate"
0,0.0839099666144178,7.87453170616663e-05,0.094797389946942,2.44845411628666e-05
1,0.0863545368420834,7.07952581481269e-05,0.0974952417325532,2.15757448504461e-05
2,0.0864959542777852,7.63436061508606e-05,0.0976865683828879,2.34184284688457e-05
3,0.0865857093659457,8.26740641387185e-05,0.0977822753764843,2.56237976544435e-05
4,0.0866427580167716,8.97656420871415e-05,0.0978517920407206,2.81006150138579e-05
5,0.0866710567568498,9.76846679408751e-05,0.0979001897530605,3.08720978722515e-05
6,0.086685305874295,0.000106417726549994,0.097932487334074,3.39624410678822e-05
7,0.0866890694765237,0.000116022724341424,0.0979676124428366,3.73564337883969e-05
8,0.0866928407229153,0.000126495518700382,0.09799608363508,4.11130730246511e-05
9,0.086689352522366,0.000137985155557839,0.0980224492680452,4.52571157242695e-05
10,0.0866818285363415,0.000150559625438508,0.0980420433606647,4.98462493976305e-05
11,0.0866665897629292,0.000164364421699775,0.0980637547907143,5.48944049436316e-05
12,0.0866568650433342,0.000179362840236854,0.0980873195408817,6.04483636030321e-05
13,0.0866421360537361,0.000195791406054745,0.0981124606461379,6.65599106362738e-05
14,0.086635206503713,0.000213609246114981,0.0981346892117908,7.3307774200251e-05
15,0.0866419538453429,0.000232839415952679,0.0981663262490013,8.06911721071603e-05
16,0.0866680641029371,0.000253491160977897,0.0982027923964281,8.87946631987597e-05
17,0.0867413882459114,0.000275171698753055,0.0982644882017819,9.75544384408723e-05
18,0.0868576111015786,0.000297957263488503,0.0983341066900768,0.000107135426071077
19,0.0870565465575548,0.000321079536831434,0.098423343316499,0.000117523715742945
20,0.0872717323685741,0.000345790732523016,0.098527424614681,0.000128819437900968
21,0.087502528404248,0.000372213609438541,0.098629731957963,0.00014124524860839
22,0.0877698403703,0.000399981244570996,0.0987416558178053,0.000154808120208633
23,0.0880240308394903,0.000430362905995774,0.098850843050508,0.000169738663443486
24,0.0882734236565252,0.000463402686260207,0.0989567950338615,0.000186184933652435
25,0.0885356466970456,0.000498859989903742,0.099074232415236,0.000204127922140554
26,0.0887706903935491,0.000538096399995518,0.0991834765551853,0.000223958036593978
27,0.0890016470469193,0.000580806600815546,0.0992914252343816,0.00024578493234097
28,0.0892125022089132,0.000627848565095007,0.0993899622696156,0.000269938782169626
29,0.0894200143228775,0.000679091383245009,0.0995039636412175,0.000296268857808633
30,0.0896171764177102,0.000735194739270676,0.0996178778859456,0.000325240553176731
31,0.0898027392077403,0.0007966948793082,0.0997340534220318,0.000357080804920151
32,0.0899811037902553,0.000863950750743079,0.0998379198543529,0.000392380683195189
33,0.0901393012993638,0.000938115588150491,0.099952573998344,0.000431015951219399
34,0.0902899157875037,0.00101932052375906,0.100052455606082,0.000473916040215132
35,0.0904085038166389,0.00110952205252569,0.100156904051816,0.000521068247023344
36,0.0905239521161046,0.00120815304920089,0.100267782488025,0.000572847029045929
37,0.0906229295636137,0.00131681052216136,0.100386867504054,0.000629657479555156
38,0.0907251941233554,0.00143530594093712,0.100502341651944,0.00069237865210095
39,0.0908254673271498,0.00156490413346364,0.10062837895928,0.000761188610901817
40,0.0909236777059884,0.00170667881684749,0.100751061677255,0.000837071688855443
41,0.0909978683945304,0.00186348639282403,0.100870395713146,0.000920926318427635
42,0.0910796747106975,0.00203436914345002,0.101003453542002,0.00101280974257982
43,0.0911818458902425,0.0022194936016548,0.101144433982617,0.00111376965120115
